shot_id,start_frame,end_frame,start_time,end_time,duration_s,court_ratio,meandiff_mean,court_hue,centroid_count,max_advance_y,max_advance_y_norm,center_approach,center_approach_norm,x_ref,y_ref,x_center,d_ref_center,d_min_center,z_maxadv,z_center,center_factor,approach_score
31.0,3633.0,4280.0,145.32,171.2,25.88,0.589201,1.363471,35.0,301,39.0,0.10833333333333334,8.0,0.0125,328.0,261.0,320.0,8.0,0.0,-1.024972,-1.3863333,0.19999376,-0.204988
57.0,6832.0,6995.0,273.28,279.8,6.52,0.600624,1.13087,36.0,62,53.5,0.1486111111111111,61.5,0.09609375,382.5,248.5,320.0,62.5,1.0,-0.58526504,-0.4925176,0.37930068,-0.22199143
57.0,6832.0,6995.0,273.28,279.8,6.52,0.600624,1.13087,36.0,62,53.5,0.1486111111111111,61.5,0.09609375,382.5,248.5,320.0,62.5,1.0,-0.58526504,-0.4925176,0.37930068,-0.22199143
82.0,10020.0,10208.0,400.8,408.32,7.52,0.640983,2.322197,27.0,86,45.0,0.125,38.0,0.059375,281.0,245.0,320.0,39.0,1.0,-0.8430243,-0.88512826,0.2921162,-0.24626106
82.0,10020.0,10208.0,400.8,408.32,7.52,0.640983,2.322197,27.0,86,45.0,0.125,38.0,0.059375,281.0,245.0,320.0,39.0,1.0,-0.8430243,-0.88512826,0.2921162,-0.24626106
171.0,19922.0,20193.0,796.88,807.72,10.84,0.676027,1.666767,27.0,119,40.0,0.1111111111111111,33.0,0.0515625,286.0,250.0,320.0,34.0,1.0,-0.9946474,-0.96866244,0.2751472,-0.27367443
171.0,19922.0,20193.0,796.88,807.72,10.84,0.676027,1.666767,27.0,119,40.0,0.1111111111111111,33.0,0.0515625,286.0,250.0,320.0,34.0,1.0,-0.9946474,-0.96866244,0.2751472,-0.27367443
157.0,18420.0,18699.0,736.8,747.96,11.16,0.733872,1.091527,27.0,119,33.0,0.09166666666666666,23.0,0.0359375,296.0,242.0,320.0,24.0,1.0,-1.2069197,-1.1357307,0.24310507,-0.29340827
157.0,18420.0,18699.0,736.8,747.96,11.16,0.733872,1.091527,27.0,119,33.0,0.09166666666666666,23.0,0.0359375,296.0,242.0,320.0,24.0,1.0,-1.2069197,-1.1357307,0.24310507,-0.29340827
149.0,17671.0,17858.0,706.84,714.32,7.48,0.701496,1.314526,28.0,71,33.5,0.09305555555555556,40.5,0.06328125,278.5,246.5,320.0,41.5,1.0,-1.1917574,-0.84336114,0.30082735,-0.35851324
149.0,17671.0,17858.0,706.84,714.32,7.48,0.701496,1.314526,28.0,71,33.5,0.09305555555555556,40.5,0.06328125,278.5,246.5,320.0,41.5,1.0,-1.1917574,-0.84336114,0.30082735,-0.35851324
28.0,3220.0,3545.0,128.8,141.8,13.0,0.597591,1.228966,34.0,149,31.0,0.08611111111111111,38.0,0.059375,281.0,250.0,320.0,39.0,1.0,-1.267569,-0.88512826,0.2921162,-0.3702774
28.0,3220.0,3545.0,128.8,141.8,13.0,0.597591,1.228966,34.0,149,31.0,0.08611111111111111,38.0,0.059375,281.0,250.0,320.0,39.0,1.0,-1.267569,-0.88512826,0.2921162,-0.3702774
73.0,8824.0,9076.0,352.96,363.04,10.08,0.703728,1.370847,29.0,100,31.5,0.0875,51.5,0.08046875,267.5,258.5,320.0,52.5,1.0,-1.2524067,-0.65958595,0.34083262,-0.42686108
73.0,8824.0,9076.0,352.96,363.04,10.08,0.703728,1.370847,29.0,100,31.5,0.0875,51.5,0.08046875,267.5,258.5,320.0,52.5,1.0,-1.2524067,-0.65958595,0.34083262,-0.42686108
40.0,4956.0,5406.0,198.24,216.24,18.0,0.739154,2.993053,27.0,212,41.5,0.11527777777777778,91.5,0.14296875,228.5,274.5,320.0,91.5,0.0,-0.9491605,0.008687403,0.5021719,-0.4766417
40.0,4956.0,5406.0,198.24,216.24,18.0,0.739154,2.993053,27.0,212,41.5,0.11527777777777778,91.5,0.14296875,228.5,274.5,320.0,91.5,0.0,-0.9491605,0.008687403,0.5021719,-0.4766417
133.0,16319.0,16488.0,652.76,659.52,6.76,0.737852,1.391179,28.0,84,35.5,0.09861111111111111,72.5,0.11328125,393.5,268.5,320.0,73.5,1.0,-1.1311082,-0.30874243,0.42342174,-0.47893578
133.0,16319.0,16488.0,652.76,659.52,6.76,0.737852,1.391179,28.0,84,35.5,0.09861111111111111,72.5,0.11328125,393.5,268.5,320.0,73.5,1.0,-1.1311082,-0.30874243,0.42342174,-0.47893578
48.0,5829.0,6041.0,233.16,241.64,8.48,0.704042,1.307766,30.0,92,29.5,0.08194444444444444,67.5,0.10546875,388.5,248.5,320.0,68.5,1.0,-1.3130559,-0.3922766,0.40316942,-0.52938396
48.0,5829.0,6041.0,233.16,241.64,8.48,0.704042,1.307766,30.0,92,29.5,0.08194444444444444,67.5,0.10546875,388.5,248.5,320.0,68.5,1.0,-1.3130559,-0.3922766,0.40316942,-0.52938396
136.0,16616.0,16707.0,664.64,668.28,3.64,0.737164,1.03652,28.0,29,46.0,0.12777777777777777,138.0,0.215625,181.0,266.0,320.0,139.0,1.0,-0.8126996,0.78555536,0.6868762,-0.558224
136.0,16616.0,16707.0,664.64,668.28,3.64,0.737164,1.03652,28.0,29,46.0,0.12777777777777777,138.0,0.215625,181.0,266.0,320.0,139.0,1.0,-0.8126996,0.78555536,0.6868762,-0.558224
145.0,17326.0,17554.0,693.04,702.16,9.12,0.69997,1.213101,28.0,104,22.5,0.0625,71.5,0.11171875,391.5,249.5,320.0,71.5,0.0,-1.5253282,-0.32544923,0.4193483,-0.6396438
145.0,17326.0,17554.0,693.04,702.16,9.12,0.69997,1.213101,28.0,104,22.5,0.0625,71.5,0.11171875,391.5,249.5,320.0,71.5,0.0,-1.5253282,-0.32544923,0.4193483,-0.6396438
183.0,21248.0,21343.0,849.92,853.72,3.8,0.73381,0.850158,25.0,31,19.5,0.05416666666666667,68.0,0.10625,389.0,235.5,320.0,69.0,1.0,-1.6163021,-0.38392314,0.40518102,-0.65489495
183.0,21248.0,21343.0,849.92,853.72,3.8,0.73381,0.850158,25.0,31,19.5,0.05416666666666667,68.0,0.10625,389.0,235.5,320.0,69.0,1.0,-1.6163021,-0.38392314,0.40518102,-0.65489495
127.0,15744.0,15835.0,629.76,633.4,3.64,0.685012,1.025596,31.0,26,44.0,0.12222222222222222,163.0,0.2546875,484.0,277.0,320.0,164.0,1.0,-0.8733489,1.2032261,0.7690982,-0.67169106
127.0,15744.0,15835.0,629.76,633.4,3.64,0.685012,1.025596,31.0,26,44.0,0.12222222222222222,163.0,0.2546875,484.0,277.0,320.0,164.0,1.0,-0.8733489,1.2032261,0.7690982,-0.67169106
167.0,19625.0,19741.0,785.0,789.64,4.64,0.689911,1.291347,27.0,40,39.5,0.10972222222222222,135.0,0.2109375,185.0,272.5,320.0,135.0,0.0,-1.0098097,0.73543483,0.6759968,-0.68262815
167.0,19625.0,19741.0,785.0,789.64,4.64,0.689911,1.291347,27.0,40,39.5,0.10972222222222222,135.0,0.2109375,185.0,272.5,320.0,135.0,0.0,-1.0098097,0.73543483,0.6759968,-0.68262815
16.0,1860.0,2065.0,74.4,82.6,8.2,0.696662,1.889891,29.0,86,40.0,0.1111111111111111,142.0,0.221875,177.0,273.0,320.0,143.0,1.0,-0.9946474,0.85238266,0.7010667,-0.69731414
16.0,1860.0,2065.0,74.4,82.6,8.2,0.696662,1.889891,29.0,86,40.0,0.1111111111111111,142.0,0.221875,177.0,273.0,320.0,143.0,1.0,-0.9946474,0.85238266,0.7010667,-0.69731414
